"Species";"NFC";"Legume";"Order";"Family";"Data_fixing";"Source";"Source2";"Data_corrected";"Species_corrected";"Analysed_Werner_etal."
"Astragalus falciformis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"Species_name_corrected";"Not_analysed"
"Astragalus flexuosus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus frigidus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus galegiformis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"Species_name_corrected";"Not_analysed"
"Astragalus gambelianus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus glaux";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus glycyphyllos";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus gombo";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus gracilis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astracantha gummifera";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus hamosus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus harringtonii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus himalayanus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus hosackioides";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus hornii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus hypogaeus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus hypoglottis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"Species_name_corrected";"Not_analysed"
"Astragalus karkarensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus kentrophyta";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus hispidulus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus lasiophyllus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus lehmannianus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus leontinus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus leptocarpus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus leucophyllus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus leucopsis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus lindheimeri";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus lonchocarpus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus lusitanicus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus membranaceus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus miniatus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus missouriensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus mollissimus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus monspessulanus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus neglectus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus nuttallii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus odoratus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus orbiculatus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus oxyglottis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus pectinatus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus pehuenches";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus pelecinus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus podocarpus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus ponticus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus psilcentros";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus purshii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus reflexistipulus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus robbinsii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus roemeri";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus saccocalyx";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus scaberrimus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus semibilocularis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus sempervirens";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus sesameus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus siliquosus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus sinicus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus steinbergianus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus stenoceras";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus stipulatus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus subumbellatus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus sulcatus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus tener";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus tenellus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus tribuloides";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus trichocarpus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus trichopodus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Orophaca caespitosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"Species_name_corrected";"Not_analysed"
"Astragalus umbellatus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus utahensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus verus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus vexilliflexus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus whitneyi";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus wootonii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Astragalus yukonis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Astragalus zingeri";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Ateleia apetala";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Ateleia gummifera";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Ateleia herbert";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Ateleia glazioveana";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Ateleia ovata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Baphia bequaerti";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Baphia laurifolia";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Baphia massaiensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Baphia maxima";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Baphia pubescens";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Baptisia alba";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Baptisia australis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Baptisia bracteata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Baptisia lactea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Baptisia leucophaea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Baptisia tinctoria";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Bergeronia sericea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bituminaria acaulis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bituminaria bituminosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Bobgunnia madagascariensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Bolusia rhodesiana";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea aquifolium";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea bossiaeoides";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea buxifolia";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea cinerea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea dentata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea ensata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea eriocarpa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea foliosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea heterophylla";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea linophylla";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Bossiaea ornata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea preissii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea prostrata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea pulchella";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bossiaea webbii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bolusafra bituminosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bolusanthus speciosus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Bowdichia virgilioides";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Brongniartia intermedia";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Brya ebenus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Brya microphylla";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Bryaspis lupulina";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Cadia ellisiana";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Cadia purpurea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Cadia varia";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Cajanus cajan";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Cajanus goensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Cajanus lineatus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Cajanus mollis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Cajanus platycarpus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Cajanus scarabaeoides";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Cajanus sericeus";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Sophora arizonica";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Calia secundiflora";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Calicotome spinosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Callerya megasperma";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Callerya speciosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Calobota cytisoides";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Calobota linearifolia";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Calobota pungens";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Calobota sericea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Calobota spinescens";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Calobota thunbergii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Calophaca tianschanica";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Calopogonium caeruleum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Calpurnia aurea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Calpurnia intrusa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Calpurnia villosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Camptosema coriaceum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Camptosema pedicellatum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Camptosema rubicundum";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Campylotropis macrocarpa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Campylotropis meeboldii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Canavalia africana";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Canavalia brasiliensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Canavalia cathartica";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Canavalia gladiata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Canavalia lineata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Canavalia rosea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Canavalia virosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana ambigua";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana arborescens";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Caragana aurantiaca";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana brevispina";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana decorticans";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana erinacea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Caragana frutescens";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana frutex";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana intermedia";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana korshinskii";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Caragana leveillei";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana microphylla";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Caragana pekinensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana pleiophylla";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana polourensis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana pruinosa";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana rosea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana sinica";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana sophoraefolia";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana tragacanthoides";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana turkestanica";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana versicolor";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Caragana zahlbruckneri";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Carmichaelia aligera";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Carmichaelia angustata";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Carmichaelia arborea";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Analysed"
"Carmichaelia arenaria";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Carmichaelia australis";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
"Corallospartium crassicaule";"Yes";"Yes";"Fabales";"Fabaceae";"Yes";"Sprent2009";"Appendices";"No_correction";"No_correction";"Not_analysed"
